General/update_step,_step,_runtime,global_step,_timestamp,General/shaped_reward_agent0,Evaluation/1__cramped_room,Evaluation/2__asymm_advantages,Losses/entropy,Losses/total_loss,Evaluation/4__no_cooperation,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Scaled_returns/evaluation_4__no_cooperation_scaled,returned_episode_lengths,Evaluation/0__smallest_kitchen,General/learning_rate,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_2__asymm_advantages_scaled,Losses/actor_loss,Scaled_returns/evaluation_3__square_arena_scaled,General/steps_for_env,General/env_index,Advantage_Targets/targets,Scaled_returns/evaluation_5__easy_layout_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/reg_loss,Evaluation/5__easy_layout,returned_episode_returns,General/explore,Scaled_returns/returned_episode_returns_scaled,General/shaped_reward_agent1,Evaluation/3__square_arena,Losses/value_loss,General/env_step,reward,explore,General/shaped_reward_annealed_agent1,Advantage_Targets/advantages
,2420,600.932276244,5256,1746880828.8192453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2430,600.932394848,5256,1746880828.8202736,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,2431,600.932404997,5256,1746880828.8203037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,2474,600.932888113,5331,1746880833.2550852,,,,,,,1.023622,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2506,600.933246981,5406,1746880837.688401,,,,,,,,,,,,,,,,,,,,,,1.344241,,,,,,,,,,,,
,2525,600.933670526,5481,1746880842.119376,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2540,600.933966194,5481,1746880842.1205518,,,,0.21954237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2554,600.934316761,5481,1746880842.1219618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
,2572,600.934872768,5556,1746880846.5531397,,,,,,,,,,,,,,,,3379200.0,,,,,,,,,,,,,,,,,,
,2574,600.93489536,5556,1746880846.5532026,,,,,,,,,,,,,,-0.0004889193,,,,,,,,,,,,,,,,,,,,
,2593,600.935113062,5631,1746880850.985306,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,
,2626,600.935483069,5706,1746880855.4182603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00021730935
1800.0,2643,600.935669861,5706,1746880855.4195068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2653,600.935780363,5706,1746880855.42042,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2673,600.936002247,5781,1746880859.8532867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2681,600.93609159,5781,1746880859.8536224,,,,,,,,,,,,,,,,,,,,,,1.6159005,,,,,,,,,,,,
,2684,600.93612558,5781,1746880859.8543756,,,,,,,0.992126,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2708,600.936385414,5856,1746880864.2863674,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2715,600.936467851,5856,1746880864.2868383,,,,0.2885712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2758,600.936976513,5931,1746880868.7222016,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2760,600.936997713,5931,1746880868.7224672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,2767,600.937073541,6006,1746880873.1543155,,,,,,,,,,,,,,,,,,0.10286167,,,,,,,,,,,,,,,,
,2833,600.938663039,6081,1746880877.5921676,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,2870,600.939126819,6156,1746880882.0263798,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,2899,600.939460187,6231,1746880886.4594545,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
