_step,_runtime,Losses/reg_loss,global_step,_timestamp,returned_episode_lengths,General/explore,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/env_index,Advantage_Targets/advantages,Evaluation/0__smallest_kitchen,Scaled_returns/evaluation_1__square_arena_scaled,returned_episode_returns,reward,General/env_step,Scaled_returns/evaluation_4__cramped_room_scaled,General/shaped_reward_agent0,Evaluation/3__easy_layout,Evaluation/5__asymm_advantages,Scaled_returns/returned_episode_returns_scaled,Evaluation/1__square_arena,Scaled_returns/evaluation_2__no_cooperation_scaled,returned_episode,Losses/total_loss,General/update_step,Advantage_Targets/targets,General/steps_for_env,Losses/entropy,explore,General/learning_rate,Scaled_returns/evaluation_3__easy_layout_scaled,Losses/value_loss,General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/evaluation_5__asymm_advantages_scaled,Losses/actor_loss,Evaluation/4__cramped_room,Evaluation/2__no_cooperation,task_2_2__no_cooperation
1085,240.790797067,,2400.0,1746880549.3537867,,,,,,-9.879896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,240.791162283,,2400.0,1746880549.3567317,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,240.791263331,,2475.0,1746880553.7769802,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1134,240.791363759,,2475.0,1746880553.7781641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069106065,,,,,,
1157,240.791622415,,2550.0,1746880558.198255,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,240.791801177,,2550.0,1746880558.1984107,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1175,240.792059288,0.0,2550.0,1746880558.1994638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,240.793212635,,2625.0,1746880562.6257296,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,
1226,240.793283328,,2700.0,1746880567.0465188,,,,,,,,,,,,,,,,,,,,,,43.120842,,,,,,,,,,,,,
1254,240.793604086,,2700.0,1746880567.0487297,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1267,240.793747627,,2775.0,1746880571.4687047,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1302,360.811231613,,2850.0,1746880575.8905296,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1312,360.811357361,,2850.0,1746880575.892016,,,,,,,,,,,,,,,,,,,,,2850.0,,,,,,,,,,,,,,
1362,360.811941197,,2925.0,1746880580.3148487,,,,,,,,,233.75,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,360.812330716,,3000.0,1746880584.7366915,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,360.812435314,,3075.0,1746880589.1571088,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1415,360.812550175,,3075.0,1746880589.158034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041404445,,,,,
1416,360.812562263,,3075.0,1746880589.1580641,,,,,,,,,,,,,,,,,,,,,,,6297600.0,,,,,,,,,,,,
1521,360.814265545,,3300.0,1746880602.5190485,,,,,,,,,,,,,,,,,,,,,,,6758400.0,,,,,,,,,,,,
1574,360.815644608,,3375.0,1746880606.943371,,,,,,,,,,,,,,,,0.9447281,,,,,,,,,,,,,,,,,,,
1584,360.815758673,,3450.0,1746880611.3630748,,,,,,,,,,,7065600.0,,,,,,,,,,,,,,,,,,,,,,,,
1615,360.816147021,,3525.0,1746880615.7846313,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1623,360.816250226,,3525.0,1746880615.7854981,,,0.21142578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,360.816565203,,3600.0,1746880620.206091,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1666,360.816807917,,3600.0,1746880620.2077813,,,,,,,,,,,,,,,,,,,,58.454674,,,,,,,,,,,,,,,
1676,360.816943271,,3600.0,1746880620.2089822,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,360.817048058,,3675.0,1746880624.626615,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1778,360.818299259,,3825.0,1746880633.4706933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
1810,360.818951014,,3900.0,1746880637.891442,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1817,360.819079749,,3900.0,1746880637.892293,,,,,,,,,238.75977,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,480.837792472,,3981.0,1746880773.8938456,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,480.838382019,,4056.0,1746880778.2961366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1884,480.838532913,,4056.0,1746880778.297177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
1890,480.838601537,,4056.0,1746880778.2976875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1929,480.83925387,,4206.0,1746880787.0947802,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
