returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
,2364,600.945544473,5106,1746880856.3657763,,,,,,,,,,,,,,,-0.00050434354,,,,,,,,,,,,,,,,,,,
,2437,600.946789442,5256,1746880865.6193233,,,,,,,,0.2263206,,,,,,,,,,,,,,,,,,,,,,,,,,
,2502,600.947586336,5406,1746880874.8716688,,,,,,,,,,,,3072000.0,,,,,,,,,,,,,,,,,,,,,,
,2513,600.94771419,5406,1746880874.8727717,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,2599,600.949290413,5631,1746880888.752127,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
,2614,600.949841566,5631,1746880888.7539008,,,,,,,,,,1.0396476,,,,,,,,,,,,,,,,,,,,,,,,
,2617,600.949881429,5631,1746880888.7543156,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,2619,600.949905885,5631,1746880888.7543833,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,2621,600.94993027,5631,1746880888.754797,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,2656,600.950347924,5706,1746880893.380901,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,2717,600.951039188,5856,1746880902.6336322,,,,,,,,2.9855442,,,,,,,,,,,,,,,,,,,,,,,,,,
,2719,600.951063649,5856,1746880902.6337068,,,,,,,,,,1.0484581,,,,,,,,,,,,,,,,,,,,,,,,
,2743,600.951336928,5931,1746880907.2598927,,,,,0.0146484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2782,600.951784635,6006,1746880911.8872852,,,,,,,,,,,,4300800.0,,,,,,,,,,,,,,,,,,,,,,
,2792,600.951898736,6006,1746880911.8882341,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,2815,600.952153263,6081,1746880916.5157893,,,,,,,,,,,,,,,,,,,,,,,,,,0.002598375,,,,,,,,
,2826,600.952636233,6081,1746880916.5168064,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
