_step,_runtime,General/env_index,global_step,_timestamp,Losses/actor_loss,Scaled_returns/evaluation_4__easy_layout_scaled,reward,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Evaluation/4__easy_layout,Evaluation/5__cramped_room,Advantage_Targets/advantages,General/env_step,General/update_step,Losses/total_loss,explore,General/explore,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,returned_episode,General/learning_rate,Evaluation/2__asymm_advantages,returned_episode_returns,General/shaped_reward_annealed_agent1,Losses/reg_loss,General/steps_for_env,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode_lengths,Evaluation/3__no_cooperation,Scaled_returns/evaluation_3__no_cooperation_scaled,Losses/value_loss,Scaled_returns/evaluation_1__square_arena_scaled,Evaluation/0__smallest_kitchen,General/shaped_reward_agent0,Advantage_Targets/targets,Scaled_returns/returned_episode_returns_scaled,Losses/entropy,task_2_2__asymm_advantages
1046,240.820711535,,2250.0,1746880538.3270125,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
1047,240.820722705,,2250.0,1746880538.3270378,,,,,,,,,,,,,,,,,,,,248.75,,,,,,,,,,,,,,,
1055,240.82081194,,2325.0,1746880542.7720509,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1059,240.820856044,,2325.0,1746880542.772184,,,,,,,,,4761600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,240.821486216,,2400.0,1746880547.2188697,,,,,,,,-9.117107,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,240.82159172,,2400.0,1746880547.2192464,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,240.822648055,,2475.0,1746880551.668617,,,,,,,,,,,67.46361,,,,,,,,,,,,,,,,,,,,,,,,
1148,240.822729045,,2475.0,1746880551.6694448,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1170,240.82298422,,2550.0,1746880556.1151757,,,,,,,,,,,,,,,,,,,,,0.06820181,,,,,,,,,,,,,,
1205,240.823388167,,2625.0,1746880560.5615928,,,,,,,,,,,,,,,,,,,,,0.064913906,,,,,,,,,,,,,,
1243,240.823821552,,2700.0,1746880565.0104392,-0.0157955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,240.824339609,,2775.0,1746880569.4589775,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1305,360.84154129,,2850.0,1746880573.9035826,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1336,360.841925089,,2925.0,1746880578.350088,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,360.842532211,,3000.0,1746880582.7993457,,,,,,,,,,,61.89891,,,,,,,,,,,,,,,,,,,,,,,,
1406,360.842761067,,3075.0,1746880587.244302,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,360.842896864,,3075.0,1746880587.24604,-0.021660894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,360.842986717,,3075.0,1746880587.2468863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
1427,360.842998527,,3075.0,1746880587.246921,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,360.843283794,,3150.0,1746880591.692933,,,,,,,,,,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,
1457,360.843345396,,3150.0,1746880591.6930828,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4668,,,,,,,
1495,360.844240801,,3225.0,1746880596.234076,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1514,360.844963654,,3300.0,1746880600.6782918,,,,,,,,,6758400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,360.845040011,,3300.0,1746880600.6794486,,,,,,,,,,,,,,,,,,,,,0.029072095,,,,,,,,,,,,,,
1523,360.845077273,,3300.0,1746880600.6797152,-0.020043503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,360.845210305,,3300.0,1746880600.68062,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1555,360.845466067,,3375.0,1746880605.1261964,,,,,,,,,,,,,,,,,,,,,0.026679028,,,,,,,,,,,,,,
1560,360.845522329,,3375.0,1746880605.1263378,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1564,360.84556961,,3375.0,1746880605.1266427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1584,360.845802134,,3450.0,1746880609.5721953,,,,,,,,,7065600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,360.845849041,,3450.0,1746880609.5732107,,,,0.2163086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,360.845872937,,3450.0,1746880609.5733228,,,,,,,,,,,,,,,,,,,,,0.02532022,,,,,,,,,,,,,,
1602,360.846017751,,3450.0,1746880609.5742137,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,360.84611098,,3525.0,1746880614.018027,,,,,,,,-9.376677,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,360.846215092,,3525.0,1746880614.0184977,,,,,,,,,7219200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,360.846484503,,3525.0,1746880614.0209045,,,,,,,,,,,,,,,,,,,,240.01953,,,,,,,,,,,,,,,
1650,360.846578874,,3600.0,1746880618.4644153,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1658,360.846669333,,3600.0,1746880618.4653695,,,,0.16455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,360.846762046,,3600.0,1746880618.4663763,,,,,,,,,,,80.403564,,,,,,,,,,,,,,,,,,,,,,,,
1682,360.846943706,,3675.0,1746880622.9104962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,,,,,
1684,360.846967631,,3675.0,1746880622.9105659,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1705,360.84753782,,3675.0,1746880622.9129474,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1727,360.848013221,,3750.0,1746880627.3581836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18896484,,,,
1736,360.848470125,,3750.0,1746880627.3586626,,,,,,,,,,,56.750755,,,,,,,,,,,,,,,,,,,,,,,,
1751,360.848657952,,3825.0,1746880631.8032222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.60309,,,
1759,360.848749477,,3825.0,1746880631.803478,,,,,,,,,7833600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,360.848784731,,3825.0,1746880631.8045814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,,,,
1773,360.848913952,,3825.0,1746880631.8055134,,,,,0.992126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,360.849182597,,3900.0,1746880636.2497346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16601562,,,,
