_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__asymm_advantages_scaled,reward,Scaled_returns/evaluation_1__cramped_room_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__smallest_kitchen_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__square_arena,Evaluation/5__smallest_kitchen,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Evaluation/1__cramped_room,Evaluation/3__easy_layout,Losses/reg_loss,Evaluation/2__no_cooperation,Scaled_returns/evaluation_0__square_arena_scaled,General/steps_for_env,Evaluation/4__asymm_advantages,General/update_step,explore,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages,task_5_5__smallest_kitchen
1739,360.815743584,,3750.0,1746880640.1275318,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,360.815754325,,3750.0,1746880640.1275606,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1752,360.815896078,,3825.0,1746880644.463976,,,,,,,,,,,,,,,272.0,,,,,,,,,,,,,,,,,,,,
1754,360.815918972,,3825.0,1746880644.4640338,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1813,360.817492259,,3900.0,1746880648.8041744,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1838,480.836753461,,3981.0,1746880781.6928015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,
1875,480.837206325,,4056.0,1746880786.084518,,,,,,0.5568831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,480.837358154,,4056.0,1746880786.0856864,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,480.837818272,,4206.0,1746880794.8667388,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,
1942,480.837978805,,4206.0,1746880794.867708,,,,,,,,,,,,,,,,,,,,,,,,,,,614400.0,,,,,,,,
1962,480.838209351,,4281.0,1746880799.258416,,,,,,,,,,,,,,,,,0.014371503,,,,,,,,,,,,,,,,,,
1976,480.838363462,,4281.0,1746880799.2595754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1977,480.838374358,,4281.0,1746880799.2596056,,,,,,,,,,,,,,,,,,,,,,,,,,,768000.0,,,,,,,,
1987,480.83871249,,4281.0,1746880799.2604601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
1988,480.838731175,,4281.0,1746880799.2604887,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,480.838794187,,4281.0,1746880799.2609742,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
1999,480.838951207,,4356.0,1746880803.6478562,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
2006,480.839103463,,4356.0,1746880803.6480465,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,480.839322027,,4356.0,1746880803.648807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,
2023,480.839562584,,4356.0,1746880803.6497836,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,480.840118933,,4431.0,1746880808.037404,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,600.858309813,,4506.0,1746880812.4259765,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2086,600.858515625,,4506.0,1746880812.4270928,,,,,,,,,,,,,,,,,,,,,,,,3.5499096,,,,,,,,,,,
2090,600.85856387,,4506.0,1746880812.4277768,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,600.858771368,,4581.0,1746880816.815282,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2120,600.858918691,,4581.0,1746880816.8163865,,,,,,0.6453118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,600.859306601,,4656.0,1746880821.2064726,,,,,,,-0.00039384695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,600.859365465,,4656.0,1746880821.2069921,,,,,,,,,,,,,,,,,,,,,,,,,,1.003861,,,,,,,,,
2182,600.859858703,,4731.0,1746880825.5975382,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,600.859886551,,4731.0,1746880825.5975735,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2184,600.85990676,,4731.0,1746880825.597603,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2214,600.860661113,1.0,4806.0,1746880829.9877734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,600.861475611,,4881.0,1746880834.3793628,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2285,600.861901753,,4956.0,1746880838.7690783,,,,,,,,,2150400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,600.862033118,,4956.0,1746880838.7700493,,,,,,,,,,,,,,,,,,,,,,,,3.5889661,,,,,,,,,,,
2357,600.862819619,,5106.0,1746880847.5515125,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,600.863231062,,5181.0,1746880851.9425523,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,600.863766088,,5256.0,1746880856.3334396,,,,,,,,,,,,,,,,,,,,,,,,,,0.98841697,,,,,,,,,
2450,600.863895441,,5256.0,1746880856.3345573,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2482,600.864594589,,5331.0,1746880860.724326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,
2493,600.86489467,,5406.0,1746880865.112065,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2531,600.865935118,,5481.0,1746880869.5027514,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,600.865946744,,5481.0,1746880869.5036223,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,600.866016991,,5481.0,1746880869.503815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,,,,,,
2565,600.866327999,,5556.0,1746880873.892034,,,,,,,,,3379200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,600.866361766,,5556.0,1746880873.892866,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
2606,600.86678916,,5631.0,1746880878.2827775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2626,600.867018615,,5706.0,1746880882.6712308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007570262,
2646,600.867241961,,5706.0,1746880882.672669,,,,,,,,,,,,,,,,,,,,,,,,1.8970473,,,,,,,,,,,
2652,600.867313786,,5706.0,1746880882.6733768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2655,600.867346367,,5706.0,1746880882.6734629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2659,600.867391158,,5706.0,1746880882.673873,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,600.867525173,,5781.0,1746880887.0617588,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
