General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/returned_episode_returns_scaled,Evaluation/0__smallest_kitchen,Losses/value_loss,_timestamp,task_1_1__cramped_room,Advantage_Targets/advantages,task_4_4__no_cooperation,General/env_index,General/steps_for_env,Evaluation/4__no_cooperation,global_step,Scaled_returns/evaluation_3__square_arena_scaled,returned_episode,Losses/actor_loss,General/learning_rate,Evaluation/1__cramped_room,task_5_5__easy_layout,reward,General/explore,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Losses/reg_loss,returned_episode_lengths,Losses/total_loss,General/shaped_reward_agent1,explore,Advantage_Targets/targets,Losses/entropy,_runtime,General/update_step,returned_episode_returns,Scaled_returns/evaluation_2__asymm_advantages_scaled,General/env_step,task_0_0__smallest_kitchen,task_2_2__asymm_advantages,task_3_3__square_arena,Scaled_returns/evaluation_5__easy_layout_scaled,Evaluation/5__easy_layout,Scaled_returns/evaluation_4__no_cooperation_scaled,Evaluation/2__asymm_advantages,_step,Evaluation/3__square_arena,General/shaped_reward_agent0
,,,,,1746880891.3156757,,,,,,,5781,,,,,,,,,,,,,,,,,,601.008024674,1875.0,,,,,,,,,,,2678,,
,,,,72.93887,1746880891.316344,,,,,,,5781,,,,,,,,,,,,,,,,,,601.008082784,,,,,,,,,,,,2683,,
,,,,,1746880891.3164604,,,,,,,5781,,,,,,,,,,,,,,,,,,601.008117027,,,0.0,,,,,,,,,2686,,
,,,,,1746880895.8485484,,,,,,,5856,,,,,,,,,,,,,,,,,,601.008288104,,,,,,,,,,,,2701,0.0,
,,,,,1746880895.8491728,,,,,,,5856,,,,,,,,,,,,,,,,,,601.008367455,,,,,,,,,,,,2708,,0.12402344
,,,,,1746880895.8496394,,,,,,,5856,,,,,,,,,,,,,,,,,,601.008425282,1950.0,,,,,,,,,,,2713,,
,,,,,1746880895.8504753,,,,,,,5856,0.0,,,,,,,,,,,,,,,,,601.008541125,,,,,,,,,,,,2722,,
,,,,,1746880900.3843238,,,,,,,5931,,,,,,,,,,,,,,,,28.198917,,601.008657122,,,,,,,,,,,,2732,,
,,,,,1746880900.3851585,,,,,,,5931,,,,0.0003,,,,,,,,,,,,,,601.008768926,,,,,,,,,,,,2742,,
,,,,69.22244,1746880900.385932,,,,,,,5931,,,,,,,,,,,,,,,,,,601.008897173,,,,,,,,,,,,2753,,
,0.059413347,,,,1746880904.9219077,,,,,,,6006,,,,,,,,,,,,,,,,,,601.009222775,,,,,,,,,,,,2781,,
,,,,,1746880904.921971,,,,,,,6006,,,,,,,,,,,,,,,,,,601.009246276,2100.0,,,,,,,,,,,2783,,
,,,,,1746880904.9227967,,,,,,,6006,,,,,,,,,,0.97637796,,,,,,,,601.009314504,,,,,,,,,,,,2789,,
,,,,,1746880904.9228585,,,,,,,6006,,,,,,,,,,,,,,,,,,601.009338246,,,0.0,,,,,,,,,2791,,
,,,,,1746880909.455956,,,,,,,6081,,,,,,,,,,,,,38.316048,,,,,601.009687618,,,,,,,,,,,,2822,,
,,,,74.917625,1746880909.4561136,,,,,,,6081,,,,,,,,,,,,,,,,,,601.009698904,,,,,,,,,,,,2823,,
,,,,,1746880913.9900038,,,,,,,6156,,,,,,,,,,,,,,,,,,601.009898635,,,,,,,,,,,,2841,0.0,
,,,,,1746880913.992837,,,,,,,6156,,,,,,,0.29296875,,,,,,,,,,,601.010500116,,,,,,,,,,,,2869,,
,,,,,1746880923.0634513,,,,,,,6306,,,,,,,,,0.7017544,,,,,,,,,721.027704691,,,,,,,,,,,,2930,,
,,0.70685136,,,1746880927.6916475,,,,,,,6381,,,,,,,,,,,,,,,,,,721.028243225,,,,,,,,,,,,2975,,
,,,,,1746880941.2984078,,,,,,,6606,,,,,,,,,0.7017544,,,,,,,,,721.029355147,,,,,,,,,,,,3070,,
,,,,,1746880945.8337085,,,,1.0,,,6681,,,,,,,,,,,,,,,,,,721.029567845,,,,,,,,,,,,3089,,
,,,,,1746880945.8359685,,,,,,,6681,,,,,,,,,,,,,,,,,,721.030298395,,,,,,,,0.0,,,,3109,,
,,,252.0,,1746880950.3713584,,,,,,,6756,,,,,,,,,,,,,,,,,,721.030652709,,,,,,,,,,,,3118,,
,,0.7071512,,,1746880950.3741217,,,,,,,6756,,,,,,,,,,,,,,,,,,721.031386143,,,,,,,,,,,,3150,,
,,,,,1746880963.9788787,,,,,,,6981,,,,,,,,,,,,,,,,,,721.032526716,,,,,,,,,,0.0,,3248,,
,,,,,1746880963.9793646,,,,,,,6981,,,,,,,0.34179688,,,,,,,,,,,721.032592846,,,,,,,,,,,,3254,,
,,,,,1746880973.047036,,,,,,,7131,,,,,,,,,,,,,,,,,,721.033069472,,,,,,,,,,,0.0,3295,,
,,,,,1746880973.0474904,,,,,,,7131,,,,0.0003,,,,,,,,,,,,,,721.033148003,,,,,,,,,,,,3302,,
,,,248.0,,1746880982.1196034,,,,,,,7281,,,,,,,,,,,,,,,,,,721.034351793,,,,,,,,,,,,3363,,
,,,,,1746880982.1205983,,,,,,,7281,,,,0.0003,,,,,,,,,,,,,,721.034600002,,,,,,,,,,,,3372,,
,,,,,1746880982.1222048,,,,,,,7281,,,,,,,,,,,,,,,,,,721.035153851,,156.31836,,,,,,,,,,3393,,
,,,,,1746880986.6553357,,,,,,,7356,,,,,164.0,,,,,,,,,,,,,721.035227731,,,,,,,,,,,,3399,,
0.014689158,,,,,1746880986.6562402,,,,,,,7356,,,,,,,,,,,,,,,,,,721.035352488,,,,,,,,,,,,3410,,
,,,,,1746880991.1951234,,-5.680395,,,,,7431,,,,,,,,,,,,,,,,,,721.035601809,,,,,,,,,,,,3431,,
,,,,,1746880991.1953514,,,,,,0.0,7431,,,,,,,,,,,,,,,,,,721.035667986,,,,,,,,,,,,3437,,
,,,,,1746880991.1981568,,,,,,,7431,,,,,,,0.41015625,,,,,,,,,,,721.035970613,,,,,,,,,,,,3464,,
,,,,,1746880995.7335823,,,,,,,7506,,,,,,,,,,,,400.0,,,,,,721.036350767,,,,,,,,,,,,3497,,
,,0.71254796,,,1746880995.7336683,,,,,,,7506,,,,,,,,,,,,,,,,,,721.036383904,,,,,,,,,,,,3500,,
,,,,,1746881000.2659557,,-5.707162,,,,,7581,,,,,,,,,,,,,,,,,,721.036395953,,,,,,,,,,,,3501,,
,,,,,1746881000.2685595,,,,,,,7581,,,,,,,,,,,,400.0,,,,,,721.036762599,,,,,,,,,,,,3532,,
,,,,,1746881004.804544,,,,,,,7656,0.0,,,,,,,,,,,,,,,,,721.037115037,,,,,,,,,,,,3562,,
,,,,,1746881009.3401794,,,,,,,7731,,0.0078125,,,,,,,,,,,,,,,,721.037563763,,,,,,,,,,,,3601,,
,,,,,1746881013.8752773,,,,,,,7806,,,,,,,,0.0,,,,,,,,,,721.038056064,,,,,,,,,,,,3616,,
,,,,63.67153,1746881013.8766246,,,,,,,7806,,,,,,,,,,,,,,,,,,721.038385838,,,,,,,,,,,,3628,,
,,,,,1746881013.8773048,,,,,,,7806,,,,,,,,,,,,,,,0.0,,,721.038598978,,,,,,,,,,,,3635,,
,,,,,1746881142.2795434,,,,,,,7887,,,,,,,,,,0.96062994,,,,,,,,841.086439003,,,,,,,,,,,,3665,,
,,,,,1746881142.2801974,,,,,,,7887,,,,,,,,,,,,,,,,,,841.086508026,,,,,,,,0.0,,,,3670,,
,,,,,1746881147.0239058,,,,,,0.0,7962,,,,,,,,,,,,,,,,,,841.086677407,,,,,,,,,,,,3683,,
,,,,,1746881151.769626,,-0.22610651,,,,,8037,,,,,,,,,,,,,,,,,,841.087438423,,,,,,,,,,,,3712,,
,,,,,1746881151.7709448,,,,,,,8037,,,,,,,,,,,,,,,,,,841.087861339,225.0,,,,,,,,,,,3729,,
,,,,,1746881166.0102737,,,,,,,8262,,,,,,,,,,,,,,,,,,961.105346945,,,,,,,,,,,,3829,,0.0014648438
,,,,,1746881166.0110228,,,,,,,8262,,,,,,,,,,,,,9.363745,,,,,961.105468646,,,,,,,,,,,,3838,,
,,,,,1746881170.7571707,,,,,,0.0,8337,,,,,,,,,,,,,,,,,,961.105715332,,,,,,,,,,,,3858,,
,,,,,1746881170.757198,,,,,,,8337,,,,,,,,,,,,,,,,,,961.10572696,,,,,,,,,0.0,,,3859,,
,,,,,1746881175.5046751,,,,,,,8412,,,,,,,,,,,,,,,,,,961.106400248,,,,,,,,,0.0,,,3894,,
,,,,,1746881180.2545593,,,,,,,8487,,0.0078125,,,,,,,,,,,,,,,,961.107823689,,,,,,,,,,,,3952,,
,,,,,1746881184.999726,,,,,,,8562,,,,,,,,,,,,,,,,,,961.10796909,,,,,,,,,0.0,,,3964,,
,,0.30030373,,,1746881185.0023887,,,,,,,8562,,,,,,,,,,,,,,,,,,961.108320507,,,,,,,,,,,,3991,,
,,,,,1746881189.7492456,,,,,,,8637,,,,,,,,,,,,,,,,,,961.108528304,825.0,,,,,,,,,,,4009,,
,,,,,1746881194.4957492,,,,,,,8712,,,,,,,,,,,,,,,,,,961.108796985,,,,,,,,,,,,4032,0.0,
,,,,,1746881194.4965203,,,,,,,8712,,,,,,,,,,,,,,,,,,961.10887426,,,,,,,,,,,,4039,,0.0
,,,,,1746881194.4973435,,,,,,,8712,,,,,,,,,,,0.6873106,,,,,,,961.108964707,,,,,,,,,,,,4047,,
,,,,,1746881194.4982958,,,,,,,8712,,,,,,,,,,,,,,,0.0,,,961.109074702,,,,,,,,,,,,4056,,
,,,,,1746881194.4983537,,,,,,,8712,,,,,,,,,,,,400.0,,,,,,961.109098253,,,,,,,,,,,,4058,,
,,,,58.314423,1746881203.99136,,,,,,,8862,,,,,,,,,,,,,,,,,,961.109800053,,,,,,,,,,,,4119,,
,,,,,1746881203.9913986,,,,,,,8862,,,,,,,,,,1.023622,,,,,,,,961.109813241,,,,,,,,,,,,4120,,
,,,,,1746881208.7373366,,,,,,,8937,,,,0.0003,,,,,,,,,,,,,,961.110084981,,,,,,,,,,,,4143,,
,,,,,1746881208.7381082,,,,,2304000.0,,8937,,,,,,,,,,,,,,,,,,961.110144609,,,,,,,,,,,,4148,,
