Losses/actor_loss,task_1_1__no_cooperation,General/shaped_reward_annealed_agent1,General/shaped_reward_agent0,Losses/reg_loss,_timestamp,returned_episode,Losses/total_loss,returned_episode_returns,returned_episode_lengths,_runtime,Advantage_Targets/targets,Advantage_Targets/advantages,task_0_0__asymm_advantages,Losses/entropy,Evaluation/4__easy_layout,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/evaluation_3__smallest_kitchen_scaled,reward,General/update_step,Evaluation/0__asymm_advantages,global_step,Scaled_returns/returned_episode_returns_scaled,General/env_index,Scaled_returns/evaluation_2__square_arena_scaled,explore,General/learning_rate,General/explore,General/steps_for_env,task_2_2__square_arena,task_4_4__easy_layout,task_5_5__cramped_room,Evaluation/5__cramped_room,Scaled_returns/evaluation_0__asymm_advantages_scaled,Losses/value_loss,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,_step,Evaluation/1__no_cooperation,Evaluation/2__square_arena,General/shaped_reward_agent1,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_1__no_cooperation_scaled,task_3_3__smallest_kitchen,Evaluation/3__smallest_kitchen
,,,,,1746880877.2961388,,,,,601.067610533,,,,,,,,,,,4281,,,,,,,,,,,,1.0132158,,,,1984,,,,,,,
,,,,,1746880877.2972465,,,,,601.067726129,,,,,,,,0.0,,,4281,,,,,,,,,,,,,,,,1994,,,,,,,
,,,,,1746880881.7328212,,,,,601.067769015,,,,,,,,,,464.0,4356,,,,,,,,,,,,,,,,1998,,,,,,,
,,,,,1746880881.7329123,,,,,601.067811564,,,,,,,,,,,4356,,,,,,,,,,,,,,,,2001,,,,,,,0.0
,,0.0,,,1746880881.7339425,,,,,601.067925154,,,,,,,,,,,4356,,,,,,,,,,,,,,,,2011,,,,,,,
,,,,,1746880886.1710696,,,,,601.06858602,0.12146688,,,,,,,,,,4431,,,,,,,,,,,,,,,,2032,,,,,,,
,,,,,1746880886.1721623,,,,,601.068771181,,,,,,,,,,,4431,,,,,0.0003,,,,,,,,,,,2042,,,,,,,
,,,,,1746880890.6119933,,,,,601.070041643,,,,,,,,,,,4506,,,,,,,,,,,,,,1228800.0,,2075,,,,,,,
,,,,,1746880890.612491,,,,,601.070054138,,,,,,,,,,,4506,,,,,,0.0,,,,,,,,,,2076,,,,,,,
,,,,,1746880895.0519283,,,,,601.070356082,,0.0057162507,,,,,,,,,4581,,,,,,,,,,,,,,,,2101,,,,,,,
,,,,,1746880908.381368,,,,,601.07178975,,,,1.0175052,,,,,,,4806,,,,,,,,,,,,,,,,2225,,,,,,,
,,,,,1746880908.3822846,,,,,601.071823731,,,,,,,,,,,4806,,,,,,,,,,,,,0.06263469,,,2228,,,,,,,
,,,,,1746880912.8233407,,,,,601.072252823,,,,,,,,,,,4881,,,,,,,,,,,,1.0308369,,,,2264,,,,,,,
,,,,,1746880917.2655368,,,,,601.072862012,,,,1.0557508,,,,,,,4956,,,,,,,,,,,,,,,,2295,,,,,,,
,,,,,1746880917.2667873,,,,400.0,601.073105822,,,,,,,,,,,4956,,,,,,,,,,,,,,,,2307,,,,,,,
,,,,,1746880921.7116518,,,,,601.073919571,,,,,,,,,,,5031,,,0.0,,,,,,,,,,,,,2336,,,,,,,
,,,,,1746880926.155384,,0.9627409,,,601.074292868,,,,,,,,,,,5106,,,,,,,,,,,,,,,,2367,,,,,,,
,,,,,1746880930.5976174,,,,,721.095367644,,,,,,,,,,,5181,,,,,,,,,,,,,,,,2384,8.0,,,,,,
,,,,,1746880930.6006794,,,,,721.096232162,,,,,,0.0,,,,,5181,,,,,,,,,,,,,,,,2408,,,,,,,
,,,,,1746880935.043628,,,,,721.097108651,,,,,,,,,,,5256,,,0.0,,,,,,,,,,,,,2441,,,,,,,
,,,,,1746880935.0439138,,,,,721.097528165,,,,,,,,,,,5256,0.065660976,,,,,,,,,,,,,,,2450,,,,,,,
,,,,,1746880939.485473,,,,,721.09758985,,,,,,,,,,,5331,,,,,,,,,,,,,,,,2455,,0.0,,,,,
,,,0.0078125,,1746880939.4865987,,,,,721.097690117,,,,,,,,,,,5331,,,,,,,,,,,,,,,,2463,,,,,,,
,,,,,1746880939.4885182,,,,,721.097928656,,,,,,,,,,,5331,,,,0.0,,,,,,,,,,,,2480,,,,,,,
,,,,,1746880943.9313407,,,13.798828,,721.098462479,,,,,,,,,,,5406,,,,,,,,,,,,,,,,2518,,,,,,,
,,,,,1746880952.8133094,,,,,721.099031192,,-1.2333437,,,,,,,,,5556,,,,,,,,,,,,,,,,2556,,,,,,,
,,,,,1746880952.8135755,,,,,721.099061619,,,,,,,,,,468.0,5556,,,,,,,,,,,,,,,,2558,,,,,,,
,,,,,1746880952.8149078,,,,,721.099228863,,,,,,,,,,,5556,,,,,,,,,,,,,,,,2569,,,0.0234375,,,,
,,,,,1746880952.817169,,,51.18164,,721.099514859,,,,,,,,,,,5556,,,,,,,,,,,,,,,,2588,,,,,,,
,,,,,1746880957.2575393,,,,,721.099608224,,,,,,,,,,,5631,,,,,,,,,,,,,,,,2595,,0.0,,,,,
