_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__easy_layout_scaled,reward,Scaled_returns/evaluation_1__square_arena_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__smallest_kitchen,Evaluation/5__cramped_room,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,Evaluation/3__no_cooperation,Losses/reg_loss,Evaluation/2__asymm_advantages,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/steps_for_env,Evaluation/4__easy_layout,General/update_step,explore,Scaled_returns/evaluation_3__no_cooperation_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages
2439,601.031036985,,5256,1746880839.4294424,,,,,,,,,,,,,,,,,,,,,,,,,,0.92913383,,,,,,,,
2450,601.031161473,,5256,1746880839.430409,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2482,601.032108078,,5331,1746880843.8932989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,
2493,601.032606559,,5406,1746880848.352014,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2531,601.033076365,,5481,1746880852.813952,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,601.033087266,,5481,1746880852.8146212,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,601.033167822,,5481,1746880852.8147964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,,,,,
2565,601.033500372,,5556,1746880857.275721,,,,,,,,,3379200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2568,601.033534484,,5556,1746880857.2762377,,,,,,,,,,,,,,,,,,0.06982422,,,,,,,,,,,,,,,,
2606,601.033978816,,5631,1746880861.7376254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049100623,,
2626,601.034238993,,5706,1746880866.1983216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.405849
2646,601.034509875,,5706,1746880866.19961,,,,,,,,,,,,,,,,,,,,,,,,1.4356956,,,,,,,,,,
2652,601.03458556,,5706,1746880866.2004147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2655,601.034621163,,5706,1746880866.2010157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2659,601.034665157,,5706,1746880866.2011254,,0.107421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,601.034800984,,5781,1746880870.6601887,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,601.03493824,,5781,1746880870.6615956,,,,,,,,,,,,,20.858315,,,,,,,,,,,,,,,,,,,,,
2691,601.035030739,,5781,1746880870.6620588,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
2709,601.035462095,,5856,1746880875.122218,,,,,,,,,,,,,,0.060058594,,,,,,,,,,,,,,,,,,,,
2735,601.036247557,,5931,1746880879.5830758,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
2742,601.036552083,,5931,1746880879.5841336,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,601.036930178,,6006,1746880884.044442,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2801,601.0372576,,6081,1746880888.5059428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5106847
2855,601.037877981,,6156,1746880892.968671,,,,,,0.89308953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,601.038472927,,6306,1746880901.8899508,,,,,,,,,,,,,,,,,15.658219,,,,,,,,,,,,,,,,,
2989,601.039810027,,6456,1746880910.9115825,,,,,,,,,,,,,,0.08886719,,,,,,,,,,,,,,,,,,,,
3015,601.040506416,,6531,1746880915.3722007,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
3054,601.040956408,1.0,6606,1746880919.8342948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,601.041036411,,6606,1746880919.8352094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025050437,,
3062,601.041048976,,6606,1746880919.8352418,,,,,,,,,,,,,,,,,,,,,,,,,,,5529600.0,,,,,,,
3084,601.041301222,,6681,1746880924.2952895,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,
3085,601.041311986,,6681,1746880924.2953188,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
3089,601.041359923,1.0,6681,1746880924.2954388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,601.041417061,,6681,1746880924.2962604,,,,,,,,,,,,,,0.0703125,,,,,,,,,,,,,,,,,,,,
3113,601.041626832,,6681,1746880924.2979596,,,,,,,,101.37695,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,721.059419817,,6831,1746880933.218128,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
3185,721.059764583,,6831,1746880933.2206209,,,,,,,,,,,,,,,,,,,0.43440065,,,,,,,,,,,,,,,
3194,721.059868609,1.0,6906,1746880937.6804152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,721.060046171,,6906,1746880937.681463,,,,,,,,,,,,,,,,,,,,,,,,,,0.92913383,,,,,,,,
3214,721.060104365,,6906,1746880937.6822083,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3222,721.060196523,,6981,1746880942.1412618,,,,,,,,,,,,,,,,,20.55931,,,,,,,,,,,,,,,,,
3259,721.060635775,,7056,1746880946.603007,,,,,,,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,,
3272,721.060811886,,7056,1746880946.6041014,,,,,,,,,,,,,,,,,,,,,,,,,,,6451200.0,,,,,,,
3287,721.061001863,,7056,1746880946.6054084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,
