global_step,_timestamp,task_0_0__square_arena,General/env_index,task_2_2__no_cooperation,Scaled_returns/evaluation_3__easy_layout_scaled,Scaled_returns/evaluation_5__smallest_kitchen_scaled,task_3_3__easy_layout,General/shaped_reward_annealed_agent1,Evaluation/2__no_cooperation,_runtime,task_4_4__asymm_advantages,Scaled_returns/evaluation_2__no_cooperation_scaled,Losses/actor_loss,Evaluation/4__asymm_advantages,_step,General/learning_rate,Losses/entropy,task_5_5__smallest_kitchen,General/steps_for_env,returned_episode,returned_episode_returns,Evaluation/1__cramped_room,Evaluation/5__smallest_kitchen,returned_episode_lengths,General/shaped_reward_agent0,Losses/total_loss,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/returned_episode_returns_scaled,Losses/value_loss,Evaluation/3__easy_layout,General/shaped_reward_agent1,General/update_step,task_1_1__cramped_room,Advantage_Targets/advantages,reward,General/shaped_reward_annealed_agent0,explore,Evaluation/0__square_arena,Scaled_returns/evaluation_4__asymm_advantages_scaled,Losses/reg_loss,General/explore,Scaled_returns/evaluation_0__square_arena_scaled,Advantage_Targets/targets,General/env_step
3900,1746880624.5768328,,,,,0.0,,,,360.925990146,,,,,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,1746880759.5187497,,,,,,,,,480.945157644,,,,,1826,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
3981,1746880759.5207465,,,,,,,,,480.954557722,,,,,1845,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
3981,1746880759.5212598,,,,,0.0,,,,480.954607228,,,,,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4056,1746880763.890214,,,,,,,,,480.954706262,,,,,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4358706,
4056,1746880763.8928785,,,,,,,,,480.955076584,,,,,1888,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
4131,1746880768.266119,,,,,,,,,480.955224886,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460800.0
4131,1746880768.2669857,,,,,,,,,480.955307024,,,,,1907,,,,460800.0,,,,,,,,,,,,,,,,,,,,,,,,,
4206,1746880772.6404877,,,,,,,,,480.955633454,,,,,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614400.0
4206,1746880772.641195,,,,,,,,,480.95566753,,,,,1938,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
4281,1746880777.0169723,,,,,,,,,480.95618755,,,,,1983,,,,,,,,,,,,,,0.04434175,,,,,,,,,,,,,,,
4356,1746880781.3926268,,,,,,,,,480.956753807,,,,,2009,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
4356,1746880781.3932624,,,,,,,,,480.957019824,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98841697,,
4431,1746880785.7688444,,,,,,,,,480.957378472,,,,,2031,,,,,,,,,,,,,,,,,,,-0.00055674056,,,,,,,,,,
4431,1746880785.7690716,,,,,,,,,480.957572365,,,,,2038,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
4431,1746880785.7696106,,,,,,,,,480.957963638,,,,,2044,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
4506,1746880790.1449726,,,,,,,,,480.958348875,,,,,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228800.0
4506,1746880790.1459103,,,,,,,0.0,,480.958422535,,,,,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581,1746880794.523284,,,,,0.0,,,,480.958969887,,,,,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,1746880798.8972437,,,,,,,,,480.959129657,,,,,2143,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
4806,1746880807.650387,,,,,,,,0.0,480.959876968,,,,,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,1746880807.6513474,,,,,,,,,480.959966782,,,,,2218,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
4806,1746880807.6525052,,,,,0.0,,,,480.960152368,,,,,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4881,1746880812.0268087,,,,,,,,,600.977075123,,,,,2241,,,,,,,,,,,,,,,,,,,-0.0039192038,,,,,,,,,,
4881,1746880812.028508,,,,,,,,,600.977367206,,,,,2261,,,,,,,,,,,,,,,,,,,,,,,,,5.1913457,,,,
4956,1746880816.4077458,,,,,,,,,600.977950312,,,,,2310,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5106,1746880825.1590495,,1.0,,,,,,,600.978463734,,,,,2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,1746880825.160106,,,,,,,,,600.978508661,,,,,2358,,,,,,,,,,0.0063476562,,,,,,,,,,,,,,,,,,,
5256,1746880833.9135008,,,,,,,,,600.979205947,,,,,2419,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
5331,1746880838.2925487,,,,,,,,,600.980828971,,,,,2467,,,,2918400.0,,,,,,,,,,,,,,,,,,,,,,,,,
5331,1746880838.292587,,,,,,,,,600.980841936,,,,,2468,,,,,,,,,,,,,,,,,1425.0,,,,,,,,,,,,
5331,1746880838.293233,,,,,,,,,600.980916187,,,,,2474,,,,,,,,,,,,,,,,,,,,,,,,,,,1.003861,,
5481,1746880847.0459085,,,,,,,,,600.98147233,,,,,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023887575,
5481,1746880847.0478363,,,,,,,,,600.981733636,,,,,2545,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
5631,1746880855.8024845,,,,,,,,,600.982552564,,,,,2618,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5706,1746880860.1767337,,,,,,,,,600.98267353,,,,,2628,,,,,,,,,,,,,,,,,,,,,,,252.0,,,,,,
5706,1746880860.1785147,,,,,,,,,600.982924055,,,,,2650,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
5706,1746880860.1793368,,,,,,,,,600.983001466,,,,,2657,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,
5781,1746880864.554997,,,,,,,,,600.983238329,,,,,2677,,,,3840000.0,,,,,,,,,,,,,,,,,,,,,,,,,
5781,1746880864.5559552,,,,,0.0,,,,600.983373813,,,,,2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5781,1746880864.5567834,,,,,,,,,600.983629511,,,,,2695,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5931,1746880873.3106391,,,,,0.0,,,,600.985122341,,,,,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
